"id","name","state","classification","population","created_at","updated_at"
"1","Goo","Assam","TC","14,673","2015-03-15 04:06:09.381765","2015-03-15 04:06:09.381765"
"2","Achabal","Jammu and Kashmir","N.A.C","5,834","2015-03-15 04:06:09.428702","2015-03-15 04:06:09.428702"
"3","Achalpur","Maharashtra","M.Cl","1,07,316","2015-03-15 04:06:09.43956","2015-03-15 04:06:09.43956"
"4","Achhnera","Uttar Pradesh","MB","20004","2015-03-15 04:06:09.450624","2015-03-15 04:06:09.450624"
"5","Adari","Uttar Pradesh","NP","11,977","2015-03-15 04:06:09.461879","2015-03-15 04:06:09.461879"
"6","Adalaj","Gujarat","CT","9,776","2015-03-15 04:06:09.472888","2015-03-15 04:06:09.472888"
"7","Adilabad","Andhra Pradesh","UA","1,29,403","2015-03-15 04:06:09.483952","2015-03-15 04:06:09.483952"
"8","Adityana","Gujarat","CT","17,238","2015-03-15 04:06:09.4952","2015-03-15 04:06:09.4952"
"9","Pereyaapatna","Karnataka","CT","4,236","2015-03-15 04:06:09.506088","2015-03-15 04:06:09.506088"
"10","Adoni","Andhra Pradesh","UA","2,70,458","2015-03-15 04:06:09.51717","2015-03-15 04:06:09.51717"
"11","Adoor","Kerala","M","28,952","2015-03-15 04:06:09.528136","2015-03-15 04:06:09.528136"
"12","Adiyara","Karnataka","CT","6,501","2015-03-15 04:06:09.539323","2015-03-15 04:06:09.539323"
"13","Adra","West Bengal","\N","22,030","2015-03-15 04:06:09.550391","2015-03-15 04:06:09.550391"
"14","Afzalpura","Karnataka","TP","19,335","2015-03-15 04:06:09.561524","2015-03-15 04:06:09.561524"
"15","Agartala","Tripura","M.Corp","4,38,408","2015-03-15 04:06:09.572534","2015-03-15 04:06:09.572534"
"16","Agra","Uttar Pradesh","UA","17,27,275","2015-03-15 04:06:09.583994","2015-03-15 04:06:09.583994"
"17","Ahiwara","Chhattisgarh","NP","18,719","2015-03-15 04:06:09.59466","2015-03-15 04:06:09.59466"
"18","Ahmedabad","Gujarat","UA","45,25,013","2015-03-15 04:06:09.605745","2015-03-15 04:06:09.605745"
"19","Ahmedgarh","Punjab","M.Cl","28,022","2015-03-15 04:06:09.617907","2015-03-15 04:06:09.617907"
"20","Ahmednagar","Maharashtra","UA","3,47,549","2015-03-15 04:06:09.628115","2015-03-15 04:06:09.628115"
"21","Ahmedpur","Maharashtra","M.Cl","35,805","2015-03-15 04:06:09.638948","2015-03-15 04:06:09.638948"
"22","Aizawl","Mizoram","N.T","2,28,280","2015-03-15 04:06:09.650062","2015-03-15 04:06:09.650062"
"23","Ajmer","Rajasthan","\N","4,85,197","2015-03-15 04:06:09.661398","2015-03-15 04:06:09.661398"
"24","Ajra","Maharashtra","CT","14,849","2015-03-15 04:06:09.672157","2015-03-15 04:06:09.672157"
"25","Akaltara","Chhattisgarh","N.P","20,367","2015-03-15 04:06:09.683279","2015-03-15 04:06:09.683279"
"26","Akbarpur","Uttar Pradesh","\N","\N","2015-03-15 04:06:09.694409","2015-03-15 04:06:09.694409"
"27","Akathiyoor","Kerala","C.T","5,274","2015-03-15 04:06:09.705876","2015-03-15 04:06:09.705876"
"28","Akhnoor","Jammu and Kashmir","N.A.C","10,896","2015-03-15 04:06:09.716298","2015-03-15 04:06:09.716298"
"29","Akkalkot","Maharashtra","M.Cl","38,213","2015-03-15 04:06:09.727715","2015-03-15 04:06:09.727715"
"30","Akola","Maharashtra","M.Cl","4,00,520","2015-03-15 04:06:09.73989","2015-03-15 04:06:09.73989"
"31","Akot","Maharashtra","M.Cl","80,726","2015-03-15 04:06:09.749733","2015-03-15 04:06:09.749733"
"32","Alandha","Karnataka","TMC","35,245","2015-03-15 04:06:09.760871","2015-03-15 04:06:09.760871"
"33","Alandi","Maharashtra","M.Cl","17,565","2015-03-15 04:06:09.771885","2015-03-15 04:06:09.771885"
"34","Alang","Gujarat","CT","18,475","2015-03-15 04:06:09.783008","2015-03-15 04:06:09.783008"
"35","Alappuzha","Kerala","UA","2,82,675","2015-03-15 04:06:09.793923","2015-03-15 04:06:09.793923"
"36","Aldona","Goa","CT","6,588","2015-03-15 04:06:09.805152","2015-03-15 04:06:09.805152"
"37","Alibag","Maharashtra","M.Cl","19,496","2015-03-15 04:06:09.816177","2015-03-15 04:06:09.816177"
"38","Aligarh","Uttar Pradesh","M Corp","6,69,087","2015-03-15 04:06:09.827591","2015-03-15 04:06:09.827591"
"39","Alipurduar","West Bengal","\N","73,732","2015-03-15 04:06:09.838323","2015-03-15 04:06:09.838323"
"40","Allahabad","Uttar Pradesh","UA","10,42,229","2015-03-15 04:06:09.849396","2015-03-15 04:06:09.849396"
"41","Almora","Uttarakhand","UA","32,358","2015-03-15 04:06:09.861115","2015-03-15 04:06:09.861115"
"42","Aalanavara","Karnataka","TP","16,290","2015-03-15 04:06:09.871522","2015-03-15 04:06:09.871522"
"43","Along","Arunachal Pradesh","CT","17,033","2015-03-15 04:06:09.88252","2015-03-15 04:06:09.88252"
"44","Alur","Karnataka","TP","6,133","2015-03-15 04:06:09.894022","2015-03-15 04:06:09.894022"
"45","Alwar","Rajasthan","\N","1,60,245","2015-03-15 04:06:09.904753","2015-03-15 04:06:09.904753"
"46","Amadalavalasa","Andhra Pradesh","N.P","37,931","2015-03-15 04:06:09.915722","2015-03-15 04:06:09.915722"
"47","Amalapuram","Andhra Pradesh","M","51,444","2015-03-15 04:06:09.926919","2015-03-15 04:06:09.926919"
"48","Amalner","Maharashtra","M.Cl","91,490","2015-03-15 04:06:09.937815","2015-03-15 04:06:09.937815"
"49","Amarpur","Bihar","N.A","20,965","2015-03-15 04:06:09.949057","2015-03-15 04:06:09.949057"
"50","Ambad","Maharashtra","M.Cl","26,108","2015-03-15 04:06:09.960122","2015-03-15 04:06:09.960122"
"51","Ambagarh Chowki","Chhattisgarh","NP","8,513","2015-03-15 04:06:09.971164","2015-03-15 04:06:09.971164"
"52","Ambaji","Gujarat","CT","13,702","2015-03-15 04:06:09.983123","2015-03-15 04:06:09.983123"
"53","Ambaliyasan","Gujarat","CT","6,739","2015-03-15 04:06:09.993238","2015-03-15 04:06:09.993238"
"54","Ambejogai","Maharashtra","M.Cl","69,478","2015-03-15 04:06:10.004458","2015-03-15 04:06:10.004458"
"55","Ambikaanagara","Karnataka","CT","4,848","2015-03-15 04:06:10.015431","2015-03-15 04:06:10.015431"
"56","Ambikapur","Chhattisgarh","UA","90,967","2015-03-15 04:06:10.0265","2015-03-15 04:06:10.0265"
"57","Ambivali Tarf Wankhal","Maharashtra","CT","6,798","2015-03-15 04:06:10.037407","2015-03-15 04:06:10.037407"
"58","Ameenapuram","Andhra Pradesh","\N","1000","2015-03-15 04:06:10.048582","2015-03-15 04:06:10.048582"
"59","Amguri","Assam","TC","6,997","2015-03-15 04:06:10.059693","2015-03-15 04:06:10.059693"
"60","Amini","Lakshadweep","\N","7,353","2015-03-15 04:06:10.071234","2015-03-15 04:06:10.071234"
"61","Amlabad","Jharkhand","C.T","4,699","2015-03-15 04:06:10.081773","2015-03-15 04:06:10.081773"
"62","Amli","Dadra and Nagar Haveli","C.T","28,570","2015-03-15 04:06:10.092809","2015-03-15 04:06:10.092809"
"63","Amravati","Maharashtra","M.Corp","5,49,510","2015-03-15 04:06:10.104211","2015-03-15 04:06:10.104211"
